Indicator,Disaggregations,Number of disaggregations
#3-3-3,"OBS_STATUS, UNIT_MULT",2
#3-3-4,"OBS_STATUS, UNIT_MULT",2
#3-4-2,"OBS_STATUS, UNIT_MULT",2
#3-6-1,"OBS_STATUS, UNIT_MULT",2
#3-7-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#3-7-2,"OBS_STATUS, UNIT_MULT, SEX, AGE",4
#3-8-2,"OBS_STATUS, UNIT_MULT",2
#3-a-1,"OBS_STATUS, UNIT_MULT, SEX",3
#3-b-1,"OBS_STATUS, UNIT_MULT",2
#3-b-2,"OBS_STATUS, UNIT_MULT",2
#3-c-1,"OBS_STATUS, UNIT_MULT, OCCUPATION",3
#4,"OBS_STATUS, UNIT_MULT",2
#4-1-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, EDUCATION_LEV, COMPOSITE_BREAKDOWN",6
#4-1-2,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, EDUCATION_LEV",5
#4-2-1,"OBS_STATUS, UNIT_MULT, SEX",3
#4-2-2,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION",4
#4-3-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION",4
#4-5-1,"OBS_STATUS, UNIT_MULT, EDUCATION_LEV",3
#4-6-1,"OBS_STATUS, UNIT_MULT, SEX, AGE",4
#4-a-1,"OBS_STATUS, UNIT_MULT, EDUCATION_LEV",3
#4-c-1,"OBS_STATUS, UNIT_MULT, EDUCATION_LEV",3
#5,"OBS_STATUS, UNIT_MULT",2
#5-2-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#5-2-2,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#5-3-1,"OBS_STATUS, UNIT_MULT, SEX",3
#5-3-2,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#5-4-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#5-5-1,"OBS_STATUS, UNIT_MULT, SEX, OCCUPATION",4
#5-5-2,"OBS_STATUS, UNIT_MULT, SEX, COMPOSITE_BREAKDOWN",4
#5-6-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#5-a-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION",4
#5-b-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION",4
#6,"OBS_STATUS, UNIT_MULT",2
#6-1-1,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#6-2-1,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#6-3-1,"OBS_STATUS, UNIT_MULT, COMPOSITE_BREAKDOWN",3
#6-3-2,"OBS_STATUS, UNIT_MULT",2
#6-4-1,"OBS_STATUS, UNIT_MULT",2
#6-4-2,"OBS_STATUS, UNIT_MULT",2
#6-5-1,"OBS_STATUS, UNIT_MULT",2
#6-5-2,"OBS_STATUS, UNIT_MULT",2
#6-6-1,"OBS_STATUS, UNIT_MULT",2
#6-a-1,"OBS_STATUS, UNIT_MULT",2
#6-b-1,"OBS_STATUS, UNIT_MULT",2
#7,"OBS_STATUS, UNIT_MULT",2
#7-1-1,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#7-1-2,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#7-2-1,"OBS_STATUS, UNIT_MULT",2
#7-3-1,"OBS_STATUS, UNIT_MULT",2
#7-a-1,"OBS_STATUS, UNIT_MULT",2
#7-b-1,"OBS_STATUS, UNIT_MULT",2
#8,"OBS_STATUS, UNIT_MULT",2
#8-1-1,"OBS_STATUS, UNIT_MULT",2
#8-10-1,"OBS_STATUS, UNIT_MULT",2
#8-10-2,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#8-2-1,"OBS_STATUS, UNIT_MULT",2
#8-3-1,"OBS_STATUS, UNIT_MULT",2
#8-5-2,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#8-6-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION",4
#8-7-1,"OBS_STATUS, UNIT_MULT, SEX, URBANISATION, AGE",5
#8-8-2,"OBS_STATUS, UNIT_MULT",2
#8-9-1,"OBS_STATUS, UNIT_MULT",2
#8-a-1,"OBS_STATUS, UNIT_MULT",2
#9,"OBS_STATUS, UNIT_MULT, URBANISATION",3
#9-1-1,"OBS_STATUS, UNIT_MULT",2
#9-1-2,"OBS_STATUS, UNIT_MULT, COMPOSITE_BREAKDOWN",3
#9-2-1,"OBS_STATUS, UNIT_MULT",2
#9-2-2,"OBS_STATUS, UNIT_MULT",2
#9-3-2,"OBS_STATUS, UNIT_MULT",2
#9-5-1,"OBS_STATUS, UNIT_MULT",2
#9-5-2,"OBS_STATUS, UNIT_MULT",2
#9-a-1,"OBS_STATUS, UNIT_MULT",2
#9-b-1,"OBS_STATUS, UNIT_MULT",2
#9-c-1,"OBS_STATUS, UNIT_MULT",2
