Indicator,Disaggregations,Number of disaggregations
#2-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-a-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#2-c-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION, AGE",5
#3-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION, AGE",5
#3-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#3-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#3-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
#3-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-3-3,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-3-4,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-4-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-7-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#3-7-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, AGE",5
#3-8-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
#3-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-b-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#3-c-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, OCCUPATION",4
#4-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, EDUCATION_LEV, COMPOSITE_BREAKDOWN",7
#4-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, EDUCATION_LEV",6
#4-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
#4-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#4-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#4-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV",4
#4-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV",4
#4-c-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, EDUCATION_LEV",4
#5-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#5-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#5-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX",4
#5-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#5-4-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#5-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, OCCUPATION",5
#5-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, COMPOSITE_BREAKDOWN",5
#5-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#5-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#5-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#6-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#6-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#6-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, COMPOSITE_BREAKDOWN",4
#6-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-4-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-4-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#6-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#7-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, URBANISATION",4
#7-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#7-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-10-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-10-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#8-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-3-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#8-6-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION",5
#8-7-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, SEX, URBANISATION, AGE",6
#8-8-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-9-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#8-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-1-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-1-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL, COMPOSITE_BREAKDOWN",4
#9-2-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-2-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-3-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-5-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-5-2,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-a-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-b-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
#9-c-1,"OBS_STATUS, UNIT_MULT, TIME_DETAIL",3
